cuda
>>> Training on scheme:  random_split
Training on fold 1
asformer

>>> Training

Train - Loss:1.0038, Accuracy:0.8265, F1:0.8455, Precision:0.7561, Recall:0.9588                || Val - Loss:0.5404, Accuracy:0.9750, F1:0.9744, Precision:0.9500, Recall:1.0000 Epoch:42
Train - Loss:1.0489, Accuracy:0.7959, F1:0.7727, Precision:0.8608, Recall:0.7010                || Val - Loss:0.5923, Accuracy:0.9750, F1:0.9744, Precision:0.9500, Recall:1.0000 Epoch:43
Train - Loss:0.9618, Accuracy:0.8316, F1:0.8177, Precision:0.8810, Recall:0.7629                || Val - Loss:0.5167, Accuracy:0.9750, F1:0.9744, Precision:0.9500, Recall:1.0000 Epoch:44
Train - Loss:1.2825, Accuracy:0.7398, F1:0.7273, Precision:0.7556, Recall:0.7010                || Val - Loss:0.5149, Accuracy:0.9750, F1:0.9744, Precision:0.9500, Recall:1.0000 Epoch:45
Train - Loss:0.9787, Accuracy:0.8418, F1:0.8502, Precision:0.8000, Recall:0.9072                || Val - Loss:0.4468, Accuracy:0.9750, F1:0.9744, Precision:0.9500, Recall:1.0000 Epoch:46
Train - Loss:0.9561, Accuracy:0.8571, F1:0.8495, Precision:0.8876, Recall:0.8144                || Val - Loss:0.4910, Accuracy:0.9750, F1:0.9744, Precision:0.9500, Recall:1.0000 Epoch:47
Train - Loss:1.3016, Accuracy:0.8316, F1:0.8325, Precision:0.8200, Recall:0.8454                || Val - Loss:0.4671, Accuracy:0.9750, F1:0.9744, Precision:0.9500, Recall:1.0000 Epoch:48
Train - Loss:1.2916, Accuracy:0.7755, F1:0.7381, Precision:0.8732, Recall:0.6392                || Val - Loss:0.5330, Accuracy:0.9750, F1:0.9744, Precision:0.9500, Recall:1.0000 Epoch:49
Train - Loss:1.3310, Accuracy:0.7908, F1:0.8128, Precision:0.7295, Recall:0.9175                || Val - Loss:0.5601, Accuracy:0.9750, F1:0.9744, Precision:0.9500, Recall:1.0000 Epoch:50
Train - Loss:0.9563, Accuracy:0.8469, F1:0.8611, Precision:0.7815, Recall:0.9588                || Val - Loss:0.5025, Accuracy:0.9750, F1:0.9744, Precision:0.9500, Recall:1.0000 Epoch:51
Train - Loss:1.0130, Accuracy:0.8367, F1:0.8505, Precision:0.7778, Recall:0.9381                || Val - Loss:0.5631, Accuracy:0.9750, F1:0.9744, Precision:0.9500, Recall:1.0000 Epoch:52
Train - Loss:1.2391, Accuracy:0.7908, F1:0.7485, Precision:0.9242, Recall:0.6289                || Val - Loss:0.5385, Accuracy:0.9750, F1:0.9744, Precision:0.9500, Recall:1.0000 Epoch:53
Train - Loss:1.3254, Accuracy:0.7806, F1:0.7543, Precision:0.8462, Recall:0.6804                || Val - Loss:0.4436, Accuracy:0.9750, F1:0.9744, Precision:0.9500, Recall:1.0000 Epoch:54
Train - Loss:1.1190, Accuracy:0.8163, F1:0.7750, Precision:0.9841, Recall:0.6392                || Val - Loss:0.4856, Accuracy:0.9750, F1:0.9744, Precision:0.9500, Recall:1.0000 Epoch:55
Train - Loss:0.9956, Accuracy:0.8520, F1:0.8304, Precision:0.9595, Recall:0.7320                || Val - Loss:0.4902, Accuracy:0.9750, F1:0.9744, Precision:0.9500, Recall:1.0000 Epoch:56
Train - Loss:1.0840, Accuracy:0.8622, F1:0.8402, Precision:0.9861, Recall:0.7320                || Val - Loss:0.5029, Accuracy:0.9750, F1:0.9744, Precision:0.9500, Recall:1.0000 Epoch:57
Train - Loss:0.8651, Accuracy:0.8571, F1:0.8313, Precision:1.0000, Recall:0.7113                || Val - Loss:0.5384, Accuracy:0.9750, F1:0.9744, Precision:0.9500, Recall:1.0000 Epoch:58
