cuda:0
>>> Training on scheme:  random_split
Training on fold 1
simpletcn

>>> Training

Train - Loss:0.2240, Accuracy:0.9490, F1:0.9474, Precision:0.9677, Recall:0.9278                || Val - Loss:0.2045, Accuracy:0.9500, F1:0.9444, Precision:1.0000, Recall:0.8947 Epoch:42
Best model updated:  0.20453500323928892
Train - Loss:0.2368, Accuracy:0.9286, F1:0.9278, Precision:0.9278, Recall:0.9278                || Val - Loss:0.2139, Accuracy:0.9250, F1:0.9189, Precision:0.9444, Recall:0.8947 Epoch:43
Train - Loss:0.2200, Accuracy:0.9286, F1:0.9278, Precision:0.9278, Recall:0.9278                || Val - Loss:0.2264, Accuracy:0.9750, F1:0.9730, Precision:1.0000, Recall:0.9474 Epoch:44
Train - Loss:0.2440, Accuracy:0.9490, F1:0.9474, Precision:0.9677, Recall:0.9278                || Val - Loss:0.2229, Accuracy:0.9250, F1:0.9143, Precision:1.0000, Recall:0.8421 Epoch:45
Train - Loss:0.2074, Accuracy:0.9592, F1:0.9592, Precision:0.9495, Recall:0.9691                || Val - Loss:0.1918, Accuracy:0.9250, F1:0.9143, Precision:1.0000, Recall:0.8421 Epoch:46
Best model updated:  0.19181336546316743
Train - Loss:0.2194, Accuracy:0.9490, F1:0.9485, Precision:0.9485, Recall:0.9485                || Val - Loss:0.2212, Accuracy:0.9250, F1:0.9189, Precision:0.9444, Recall:0.8947 Epoch:47
Train - Loss:0.2418, Accuracy:0.9082, F1:0.9062, Precision:0.9158, Recall:0.8969                || Val - Loss:0.2131, Accuracy:0.9500, F1:0.9444, Precision:1.0000, Recall:0.8947 Epoch:48
Train - Loss:0.2258, Accuracy:0.9490, F1:0.9485, Precision:0.9485, Recall:0.9485                || Val - Loss:0.2159, Accuracy:0.9500, F1:0.9444, Precision:1.0000, Recall:0.8947 Epoch:49
Train - Loss:0.1954, Accuracy:0.9643, F1:0.9648, Precision:0.9412, Recall:0.9897                || Val - Loss:0.2103, Accuracy:0.9500, F1:0.9444, Precision:1.0000, Recall:0.8947 Epoch:50
Train - Loss:0.2014, Accuracy:0.9541, F1:0.9534, Precision:0.9583, Recall:0.9485                || Val - Loss:0.2160, Accuracy:0.9750, F1:0.9730, Precision:1.0000, Recall:0.9474 Epoch:51
Train - Loss:0.2258, Accuracy:0.9439, F1:0.9453, Precision:0.9135, Recall:0.9794                || Val - Loss:0.2008, Accuracy:0.9750, F1:0.9730, Precision:1.0000, Recall:0.9474 Epoch:52
Train - Loss:0.1883, Accuracy:0.9643, F1:0.9637, Precision:0.9688, Recall:0.9588                || Val - Loss:0.2150, Accuracy:0.9250, F1:0.9189, Precision:0.9444, Recall:0.8947 Epoch:53
Train - Loss:0.2142, Accuracy:0.9439, F1:0.9447, Precision:0.9216, Recall:0.9691                || Val - Loss:0.2274, Accuracy:0.9750, F1:0.9730, Precision:1.0000, Recall:0.9474 Epoch:54
Train - Loss:0.1879, Accuracy:0.9745, F1:0.9741, Precision:0.9792, Recall:0.9691                || Val - Loss:0.2074, Accuracy:0.9750, F1:0.9730, Precision:1.0000, Recall:0.9474 Epoch:55
Train - Loss:0.2007, Accuracy:0.9541, F1:0.9529, Precision:0.9681, Recall:0.9381                || Val - Loss:0.2065, Accuracy:0.9500, F1:0.9444, Precision:1.0000, Recall:0.8947 Epoch:56
Train - Loss:0.2077, Accuracy:0.9439, F1:0.9447, Precision:0.9216, Recall:0.9691                || Val - Loss:0.1910, Accuracy:0.9500, F1:0.9444, Precision:1.0000, Recall:0.8947 Epoch:57
Best model updated:  0.1910384853836149
Train - Loss:0.2108, Accuracy:0.9541, F1:0.9543, Precision:0.9400, Recall:0.9691                || Val - Loss:0.1939, Accuracy:0.9500, F1:0.9444, Precision:1.0000, Recall:0.8947 Epoch:58
Train - Loss:0.1952, Accuracy:0.9490, F1:0.9490, Precision:0.9394, Recall:0.9588                || Val - Loss:0.1954, Accuracy:0.9500, F1:0.9444, Precision:1.0000, Recall:0.8947 Epoch:59
Train - Loss:0.2219, Accuracy:0.9490, F1:0.9479, Precision:0.9579, Recall:0.9381                || Val - Loss:0.2001, Accuracy:0.9500, F1:0.9444, Precision:1.0000, Recall:0.8947 Epoch:60
