cuda:0
>>> Training on scheme:  random_split
Training on fold 1
simpletcn

>>> Training

Train - Loss:0.1819, Accuracy:0.9643, F1:0.9637, Precision:0.9688, Recall:0.9588                || Val - Loss:0.2167, Accuracy:0.9750, F1:0.9730, Precision:1.0000, Recall:0.9474 Epoch:56
Train - Loss:0.2086, Accuracy:0.9439, F1:0.9447, Precision:0.9216, Recall:0.9691                || Val - Loss:0.1856, Accuracy:0.9500, F1:0.9444, Precision:1.0000, Recall:0.8947 Epoch:57
Best model updated:  0.1856119970791042
Train - Loss:0.1991, Accuracy:0.9490, F1:0.9485, Precision:0.9485, Recall:0.9485                || Val - Loss:0.2047, Accuracy:0.9250, F1:0.9189, Precision:0.9444, Recall:0.8947 Epoch:58
Train - Loss:0.1952, Accuracy:0.9286, F1:0.9278, Precision:0.9278, Recall:0.9278                || Val - Loss:0.1900, Accuracy:0.9750, F1:0.9730, Precision:1.0000, Recall:0.9474 Epoch:59
Train - Loss:0.2162, Accuracy:0.9541, F1:0.9534, Precision:0.9583, Recall:0.9485                || Val - Loss:0.1949, Accuracy:0.9750, F1:0.9730, Precision:1.0000, Recall:0.9474 Epoch:60
Train - Loss:0.1972, Accuracy:0.9490, F1:0.9490, Precision:0.9394, Recall:0.9588                || Val - Loss:0.2153, Accuracy:0.9750, F1:0.9730, Precision:1.0000, Recall:0.9474 Epoch:61
Train - Loss:0.1836, Accuracy:0.9643, F1:0.9641, Precision:0.9592, Recall:0.9691                || Val - Loss:0.2366, Accuracy:0.9750, F1:0.9730, Precision:1.0000, Recall:0.9474 Epoch:62
Train - Loss:0.2263, Accuracy:0.9235, F1:0.9231, Precision:0.9184, Recall:0.9278                || Val - Loss:0.2180, Accuracy:0.9750, F1:0.9730, Precision:1.0000, Recall:0.9474 Epoch:63
Train - Loss:0.1763, Accuracy:0.9745, F1:0.9744, Precision:0.9694, Recall:0.9794                || Val - Loss:0.1957, Accuracy:0.9750, F1:0.9730, Precision:1.0000, Recall:0.9474 Epoch:64
Train - Loss:0.1773, Accuracy:0.9643, F1:0.9645, Precision:0.9500, Recall:0.9794                || Val - Loss:0.1980, Accuracy:0.9750, F1:0.9730, Precision:1.0000, Recall:0.9474 Epoch:65
Train - Loss:0.1772, Accuracy:0.9541, F1:0.9534, Precision:0.9583, Recall:0.9485                || Val - Loss:0.2110, Accuracy:0.9750, F1:0.9730, Precision:1.0000, Recall:0.9474 Epoch:66
Train - Loss:0.2201, Accuracy:0.9388, F1:0.9406, Precision:0.9048, Recall:0.9794                || Val - Loss:0.1953, Accuracy:0.9750, F1:0.9730, Precision:1.0000, Recall:0.9474 Epoch:67
Train - Loss:0.1766, Accuracy:0.9643, F1:0.9637, Precision:0.9688, Recall:0.9588                || Val - Loss:0.2128, Accuracy:0.9500, F1:0.9474, Precision:0.9474, Recall:0.9474 Epoch:68
Train - Loss:0.1719, Accuracy:0.9490, F1:0.9474, Precision:0.9677, Recall:0.9278                || Val - Loss:0.2082, Accuracy:0.9500, F1:0.9474, Precision:0.9474, Recall:0.9474 Epoch:69
Train - Loss:0.1948, Accuracy:0.9439, F1:0.9424, Precision:0.9574, Recall:0.9278                || Val - Loss:0.2396, Accuracy:0.9500, F1:0.9474, Precision:0.9474, Recall:0.9474 Epoch:70
Train - Loss:0.1752, Accuracy:0.9796, F1:0.9794, Precision:0.9794, Recall:0.9794                || Val - Loss:0.2030, Accuracy:0.9750, F1:0.9730, Precision:1.0000, Recall:0.9474 Epoch:71
Train - Loss:0.1745, Accuracy:0.9694, F1:0.9688, Precision:0.9789, Recall:0.9588                || Val - Loss:0.2266, Accuracy:0.9500, F1:0.9474, Precision:0.9474, Recall:0.9474 Epoch:72
Train - Loss:0.1740, Accuracy:0.9643, F1:0.9630, Precision:0.9891, Recall:0.9381                || Val - Loss:0.2279, Accuracy:0.9750, F1:0.9730, Precision:1.0000, Recall:0.9474 Epoch:73
Train - Loss:0.1552, Accuracy:0.9745, F1:0.9741, Precision:0.9792, Recall:0.9691                || Val - Loss:0.2037, Accuracy:0.9750, F1:0.9730, Precision:1.0000, Recall:0.9474 Epoch:74
