cuda
>>> Training on scheme:  random_split
Training on fold 1
ms2

>>> Training

Train - Loss:0.5608, Accuracy:0.5051, F1:0.0000, Precision:0.0000, Recall:0.0000                || Val - Loss:0.5580, Accuracy:0.4250, F1:0.3030, Precision:0.3571, Recall:0.2632 Epoch:49
Train - Loss:0.5582, Accuracy:0.5051, F1:0.0000, Precision:0.0000, Recall:0.0000                || Val - Loss:0.5581, Accuracy:0.4500, F1:0.3529, Precision:0.4000, Recall:0.3158 Epoch:50
Train - Loss:0.5547, Accuracy:0.5051, F1:0.0000, Precision:0.0000, Recall:0.0000                || Val - Loss:0.5579, Accuracy:0.4750, F1:0.4000, Precision:0.4375, Recall:0.3684 Epoch:51
Best model updated:  0.5579211667180062
Train - Loss:0.5564, Accuracy:0.5051, F1:0.0000, Precision:0.0000, Recall:0.0000                || Val - Loss:0.5579, Accuracy:0.4750, F1:0.4000, Precision:0.4375, Recall:0.3684 Epoch:52
Best model updated:  0.55786734521389
Train - Loss:0.5603, Accuracy:0.5051, F1:0.0000, Precision:0.0000, Recall:0.0000                || Val - Loss:0.5578, Accuracy:0.4500, F1:0.3529, Precision:0.4000, Recall:0.3158 Epoch:53
Train - Loss:0.5591, Accuracy:0.5051, F1:0.0000, Precision:0.0000, Recall:0.0000                || Val - Loss:0.5577, Accuracy:0.4250, F1:0.3030, Precision:0.3571, Recall:0.2632 Epoch:54
Train - Loss:0.5565, Accuracy:0.5051, F1:0.0000, Precision:0.0000, Recall:0.0000                || Val - Loss:0.5576, Accuracy:0.4250, F1:0.3030, Precision:0.3571, Recall:0.2632 Epoch:55
Train - Loss:0.5602, Accuracy:0.5051, F1:0.0000, Precision:0.0000, Recall:0.0000                || Val - Loss:0.5575, Accuracy:0.4250, F1:0.3030, Precision:0.3571, Recall:0.2632 Epoch:56
Train - Loss:0.5579, Accuracy:0.5051, F1:0.0000, Precision:0.0000, Recall:0.0000                || Val - Loss:0.5574, Accuracy:0.4000, F1:0.2500, Precision:0.3077, Recall:0.2105 Epoch:57
Train - Loss:0.5542, Accuracy:0.5051, F1:0.0000, Precision:0.0000, Recall:0.0000                || Val - Loss:0.5574, Accuracy:0.4000, F1:0.2500, Precision:0.3077, Recall:0.2105 Epoch:58
Train - Loss:0.5568, Accuracy:0.5051, F1:0.0000, Precision:0.0000, Recall:0.0000                || Val - Loss:0.5573, Accuracy:0.4250, F1:0.2069, Precision:0.3000, Recall:0.1579 Epoch:59
Train - Loss:0.5568, Accuracy:0.5051, F1:0.0000, Precision:0.0000, Recall:0.0000                || Val - Loss:0.5575, Accuracy:0.4000, F1:0.2500, Precision:0.3077, Recall:0.2105 Epoch:60
Train - Loss:0.5594, Accuracy:0.5051, F1:0.0000, Precision:0.0000, Recall:0.0000                || Val - Loss:0.5575, Accuracy:0.4000, F1:0.2500, Precision:0.3077, Recall:0.2105 Epoch:61
Train - Loss:0.5621, Accuracy:0.5051, F1:0.0000, Precision:0.0000, Recall:0.0000                || Val - Loss:0.5575, Accuracy:0.4000, F1:0.2500, Precision:0.3077, Recall:0.2105 Epoch:62
Train - Loss:0.5578, Accuracy:0.5051, F1:0.0000, Precision:0.0000, Recall:0.0000                || Val - Loss:0.5575, Accuracy:0.4000, F1:0.2500, Precision:0.3077, Recall:0.2105 Epoch:63
Train - Loss:0.5596, Accuracy:0.5051, F1:0.0000, Precision:0.0000, Recall:0.0000                || Val - Loss:0.5575, Accuracy:0.4000, F1:0.2500, Precision:0.3077, Recall:0.2105 Epoch:64
Train - Loss:0.5576, Accuracy:0.5051, F1:0.0000, Precision:0.0000, Recall:0.0000                || Val - Loss:0.5575, Accuracy:0.4000, F1:0.2500, Precision:0.3077, Recall:0.2105 Epoch:65
Train - Loss:0.5596, Accuracy:0.5051, F1:0.0000, Precision:0.0000, Recall:0.0000                || Val - Loss:0.5575, Accuracy:0.4000, F1:0.2500, Precision:0.3077, Recall:0.2105 Epoch:66
Train - Loss:0.5640, Accuracy:0.5051, F1:0.0000, Precision:0.0000, Recall:0.0000                || Val - Loss:0.5575, Accuracy:0.4250, F1:0.3030, Precision:0.3571, Recall:0.2632 Epoch:67
Train - Loss:0.5600, Accuracy:0.5051, F1:0.0000, Precision:0.0000, Recall:0.0000                || Val - Loss:0.5575, Accuracy:0.4250, F1:0.3030, Precision:0.3571, Recall:0.2632 Epoch:68
Train - Loss:0.5594, Accuracy:0.5051, F1:0.0000, Precision:0.0000, Recall:0.0000                || Val - Loss:0.5575, Accuracy:0.4250, F1:0.3030, Precision:0.3571, Recall:0.2632 Epoch:69
Train - Loss:0.5568, Accuracy:0.5051, F1:0.0000, Precision:0.0000, Recall:0.0000                || Val - Loss:0.5575, Accuracy:0.4250, F1:0.3030, Precision:0.3571, Recall:0.2632 Epoch:70
Train - Loss:0.5595, Accuracy:0.5051, F1:0.0000, Precision:0.0000, Recall:0.0000                || Val - Loss:0.5575, Accuracy:0.4000, F1:0.2500, Precision:0.3077, Recall:0.2105 Epoch:71
